=========================================
This for gpu 0
=========================================
937
step=187	smmoth=0.448257	cost=0.145460	acc:0.968750
step=188	smmoth=0.434730	cost=0.312993	acc:0.890625
step=189	smmoth=0.436622	cost=0.453650	acc:0.875000
step=190	smmoth=0.430415	cost=0.374546	acc:0.906250
step=191	smmoth=0.424978	cost=0.376051	acc:0.890625
step=192	smmoth=0.402649	cost=0.201685	acc:0.937500
step=193	smmoth=0.393976	cost=0.315915	acc:0.875000
step=194	smmoth=0.397283	cost=0.427050	acc:0.906250
step=195	smmoth=0.382888	cost=0.253337	acc:0.921875
step=196	smmoth=0.363394	cost=0.187939	acc:0.937500
step=197	smmoth=0.369057	cost=0.420028	acc:0.906250
step=198	smmoth=0.364158	cost=0.320063	acc:0.859375
step=199	smmoth=0.383411	cost=0.556695	acc:0.875000
step=200	smmoth=0.421277	cost=0.762072	acc:0.812500
step=201	smmoth=0.409494	cost=0.303442	acc:0.890625
step=202	smmoth=0.416223	cost=0.476788	acc:0.812500
step=203	smmoth=0.426074	cost=0.514728	acc:0.796875
step=204	smmoth=0.428522	cost=0.450557	acc:0.843750
step=205	smmoth=0.419608	cost=0.339379	acc:0.890625
step=206	smmoth=0.432902	cost=0.552548	acc:0.843750
step=207	smmoth=0.410332	cost=0.207203	acc:0.921875
step=208	smmoth=0.389080	cost=0.197809	acc:0.953125
step=209	smmoth=0.402265	cost=0.520938	acc:0.859375
step=210	smmoth=0.384454	cost=0.224152	acc:0.937500
step=211	smmoth=0.377471	cost=0.314626	acc:0.953125
step=212	smmoth=0.359162	cost=0.194374	acc:0.953125
step=213	smmoth=0.371963	cost=0.487173	acc:0.843750
step=214	smmoth=0.355727	cost=0.209605	acc:0.921875
step=215	smmoth=0.351060	cost=0.309059	acc:0.937500
step=216	smmoth=0.352712	cost=0.367583	acc:0.890625
step=217	smmoth=0.347327	cost=0.298862	acc:0.937500
step=218	smmoth=0.344002	cost=0.314076	acc:0.906250
step=219	smmoth=0.349882	cost=0.402795	acc:0.843750
step=220	smmoth=0.340964	cost=0.260703	acc:0.921875
step=221	smmoth=0.334672	cost=0.278048	acc:0.906250
step=222	smmoth=0.326154	cost=0.249489	acc:0.890625
step=223	smmoth=0.307312	cost=0.137741	acc:0.968750
step=224	smmoth=0.300150	cost=0.235688	acc:0.906250
step=225	smmoth=0.293997	cost=0.238618	acc:0.921875
step=226	smmoth=0.289469	cost=0.248719	acc:0.937500
step=227	smmoth=0.281769	cost=0.212468	acc:0.890625
step=228	smmoth=0.301828	cost=0.482356	acc:0.796875
step=229	smmoth=0.326278	cost=0.546333	acc:0.765625
step=230	smmoth=0.324490	cost=0.308396	acc:0.859375
step=231	smmoth=0.317379	cost=0.253379	acc:0.953125
step=232	smmoth=0.325643	cost=0.400020	acc:0.875000
step=233	smmoth=0.296408	cost=0.033294	acc:1.000000
step=234	smmoth=0.296332	cost=0.295646	acc:0.921875
step=235	smmoth=0.300617	cost=0.339181	acc:0.937500
step=236	smmoth=0.292023	cost=0.214682	acc:0.937500
step=237	smmoth=0.279731	cost=0.169106	acc:0.937500
step=238	smmoth=0.284890	cost=0.331317	acc:0.906250
step=239	smmoth=0.315694	cost=0.592931	acc:0.828125
step=240	smmoth=0.310982	cost=0.268568	acc:0.953125
step=241	smmoth=0.304255	cost=0.243717	acc:0.937500
step=242	smmoth=0.304806	cost=0.309768	acc:0.953125
step=243	smmoth=0.294447	cost=0.201209	acc:0.968750
step=244	smmoth=0.292984	cost=0.279819	acc:0.953125
step=245	smmoth=0.278477	cost=0.147911	acc:0.937500
step=246	smmoth=0.261613	cost=0.109839	acc:0.984375
step=247	smmoth=0.254859	cost=0.194069	acc:0.906250
step=248	smmoth=0.258580	cost=0.292072	acc:0.828125
step=249	smmoth=0.268377	cost=0.356550	acc:0.875000
step=250	smmoth=0.258401	cost=0.168618	acc:0.937500
step=251	smmoth=0.270753	cost=0.381921	acc:0.843750
step=252	smmoth=0.291165	cost=0.474872	acc:0.875000
step=253	smmoth=0.324133	cost=0.620843	acc:0.796875
step=254	smmoth=0.342313	cost=0.505934	acc:0.843750
step=255	smmoth=0.362737	cost=0.546551	acc:0.812500
step=256	smmoth=0.374117	cost=0.476538	acc:0.812500
step=257	smmoth=0.374507	cost=0.378020	acc:0.859375
step=258	smmoth=0.375861	cost=0.388041	acc:0.921875
step=259	smmoth=0.360433	cost=0.221588	acc:0.953125
step=260	smmoth=0.365495	cost=0.411050	acc:0.859375
step=261	smmoth=0.352168	cost=0.232230	acc:0.921875
step=262	smmoth=0.367307	cost=0.503557	acc:0.843750
step=263	smmoth=0.360690	cost=0.301134	acc:0.921875
step=264	smmoth=0.370901	cost=0.462797	acc:0.843750
step=265	smmoth=0.367219	cost=0.334085	acc:0.859375
step=266	smmoth=0.381383	cost=0.508854	acc:0.828125
step=267	smmoth=0.373066	cost=0.298215	acc:0.859375
step=268	smmoth=0.383811	cost=0.480515	acc:0.875000
step=269	smmoth=0.383206	cost=0.377765	acc:0.890625
step=270	smmoth=0.383676	cost=0.387903	acc:0.875000
step=271	smmoth=0.373773	cost=0.284648	acc:0.937500
step=272	smmoth=0.363488	cost=0.270925	acc:0.906250
step=273	smmoth=0.349867	cost=0.227276	acc:0.906250
step=274	smmoth=0.352248	cost=0.373682	acc:0.890625
step=275	smmoth=0.342799	cost=0.257756	acc:0.921875
step=276	smmoth=0.331052	cost=0.225326	acc:0.906250
step=277	smmoth=0.333071	cost=0.351239	acc:0.828125
step=278	smmoth=0.310542	cost=0.107784	acc:0.984375
step=279	smmoth=0.304143	cost=0.246551	acc:0.921875
step=280	smmoth=0.312707	cost=0.389785	acc:0.890625
step=281	smmoth=0.308885	cost=0.274489	acc:0.906250
step=282	smmoth=0.301819	cost=0.238222	acc:0.953125
step=283	smmoth=0.293859	cost=0.222218	acc:0.921875
step=284	smmoth=0.283943	cost=0.194697	acc:0.968750
step=285	smmoth=0.292355	cost=0.368067	acc:0.859375
step=286	smmoth=0.285300	cost=0.221801	acc:0.937500
